number,value,datetime_start,datetime_complete,duration,params_model,params_normTechnique,params_sampleTechnique,user_attrs_binIndices,user_attrs_hyperparams,state
967,0.0,2024-07-08 12:43:28.296139,2024-07-08 12:43:41.616137,0 days 00:00:13.319998,RandomForestClassifier,Normalize_L1_1,,"[0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1]","{'n_estimators': 500, 'max_features': 'auto', 'max_depth': None, 'min_samples_split': 200, 'min_samples_leaf': 50, 'bootstrap': False}",COMPLETE
968,0.0,2024-07-08 12:43:28.401123,2024-07-08 12:43:45.927124,0 days 00:00:17.526001,RandomForestClassifier,Normalize_L1_1,,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0]","{'n_estimators': 10, 'max_features': 'auto', 'max_depth': 100, 'min_samples_split': 50, 'min_samples_leaf': 100, 'bootstrap': True}",COMPLETE
969,0.7935483868407908,2024-07-08 12:43:28.523126,2024-07-08 12:43:58.032138,0 days 00:00:29.509012,RandomForestClassifier,Normalize_L1_1,,"[1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1]","{'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': None, 'min_samples_split': 200, 'min_samples_leaf': 100, 'bootstrap': True}",COMPLETE
970,0.7935483868407908,2024-07-08 12:43:28.932154,2024-07-08 12:43:58.853126,0 days 00:00:29.920972,GradientBoostingClassifier,Normalize_L1_1,,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 50, 'min_samples_leaf': 100, 'subsample': 0.5, 'max_features': 'sqrt'}",COMPLETE
971,0.0,2024-07-08 12:43:29.012137,2024-07-08 12:43:58.968139,0 days 00:00:29.956002,RandomForestClassifier,StandardScaler,KMeansSMOTE,,"{'n_estimators': 200, 'max_features': None, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 50, 'bootstrap': True}",COMPLETE
972,0.4903225804869927,2024-07-08 12:43:29.301126,2024-07-08 12:43:45.602137,0 days 00:00:16.301011,RandomForestClassifier,StandardScaler,SMOTEENN,"[1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1]","{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 50, 'min_samples_split': 50, 'min_samples_leaf': 1, 'bootstrap': True}",COMPLETE
973,0.7806451610385015,2024-07-08 12:43:31.159122,2024-07-08 12:44:06.535139,0 days 00:00:35.376017,GradientBoostingClassifier,Normalize_L1_1,,"[1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]","{'n_estimators': 10, 'learning_rate': 0.5, 'max_depth': 7, 'min_samples_split': 10, 'min_samples_leaf': 1, 'subsample': 1.0, 'max_features': 'log2'}",COMPLETE
974,0.7935483868407908,2024-07-08 12:43:33.586138,2024-07-08 12:44:00.713140,0 days 00:00:27.127002,RandomForestClassifier,Normalize_L1_1,,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]","{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 500, 'min_samples_split': 100, 'min_samples_leaf': 50, 'bootstrap': False}",COMPLETE
975,0.745161290082206,2024-07-08 12:43:34.631141,2024-07-08 12:44:08.296138,0 days 00:00:33.664997,XGBClassifier,Normalize_L1_1,,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]","{'n_estimators': 50, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.5, 'gamma': 0.0, 'reg_alpha': 0.1, 'reg_lambda': 0.0}",COMPLETE
976,0.0,2024-07-08 12:43:35.087125,2024-07-08 12:44:00.817148,0 days 00:00:25.730023,GradientBoostingClassifier,Normalize_L1_1,,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]","{'n_estimators': 100, 'learning_rate': 10.0, 'max_depth': 9, 'min_samples_split': 10, 'min_samples_leaf': 100, 'subsample': 0.5, 'max_features': 'auto'}",COMPLETE
977,0.0,2024-07-08 12:43:35.194137,2024-07-08 12:43:48.329127,0 days 00:00:13.134990,RandomForestClassifier,Normalize_L1_1,SMOTETomek,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0]","{'n_estimators': 500, 'max_features': 'auto', 'max_depth': 50, 'min_samples_split': 100, 'min_samples_leaf': 5, 'bootstrap': True}",COMPLETE
978,0.6935483868730489,2024-07-08 12:43:35.301141,2024-07-08 12:44:00.105140,0 days 00:00:24.803999,GradientBoostingClassifier,Normalize_L1_1,,"[1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1]","{'n_estimators': 200, 'learning_rate': 0.5, 'max_depth': 7, 'min_samples_split': 50, 'min_samples_leaf': 2, 'subsample': 0.5, 'max_features': None}",COMPLETE
979,0.7838709674890738,2024-07-08 12:43:36.154125,2024-07-08 12:44:03.527121,0 days 00:00:27.372996,XGBClassifier,Normalize_L1_1,,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1]","{'n_estimators': 200, 'learning_rate': 0.01, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.7, 'gamma': 0.1, 'reg_alpha': 1.0, 'reg_lambda': 0.0}",COMPLETE
980,0.45161290308012486,2024-07-08 12:43:36.276138,2024-07-08 12:44:29.937129,0 days 00:00:53.660991,BaggingClassifier,Normalize_L1_1,RandomUnderSampler,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0]","{'n_estimators': 1000, 'max_samples': 1.0, 'max_features': 0.5, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
981,0.7032258062247658,2024-07-08 12:43:38.228123,2024-07-08 12:44:08.341125,0 days 00:00:30.113002,GradientBoostingClassifier,Normalize_L1_1,,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1]","{'n_estimators': 200, 'learning_rate': 0.5, 'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 5, 'subsample': 0.5, 'max_features': None}",COMPLETE
982,0.7806451610385015,2024-07-08 12:43:39.744126,2024-07-08 12:44:17.701141,0 days 00:00:37.957015,XGBClassifier,Normalize_L1_1,,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0]","{'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.7, 'gamma': 0.1, 'reg_alpha': 1.0, 'reg_lambda': 1.0}",COMPLETE
983,0.0,2024-07-08 12:43:39.950136,2024-07-08 12:43:59.003137,0 days 00:00:19.053001,GradientBoostingClassifier,Normalize_L1_1,,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]","{'n_estimators': 10, 'learning_rate': 0.5, 'max_depth': 3, 'min_samples_split': 10, 'min_samples_leaf': 10, 'subsample': 0.5, 'max_features': 'auto'}",COMPLETE
984,0.7774193545879292,2024-07-08 12:43:40.052141,2024-07-08 12:44:09.697137,0 days 00:00:29.644996,GradientBoostingClassifier,Normalize_L1_1,,"[1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]","{'n_estimators': 500, 'learning_rate': 0.01, 'max_depth': 9, 'min_samples_split': 100, 'min_samples_leaf': 2, 'subsample': 0.7, 'max_features': 'sqrt'}",COMPLETE
985,0.8032258061925077,2024-07-08 12:43:40.523142,2024-07-08 12:44:16.934123,0 days 00:00:36.410981,XGBClassifier,Normalize_L1_1,,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0]","{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 1.0, 'gamma': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 0.0}",COMPLETE
986,0.5161290320915712,2024-07-08 12:43:40.849130,2024-07-08 12:44:11.559140,0 days 00:00:30.710010,BaggingClassifier,Normalize_L1_1,RandomUnderSampler,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1]","{'n_estimators': 10, 'max_samples': 0.5, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
987,0.7999999997419355,2024-07-08 12:43:41.118137,2024-07-08 12:44:09.056096,0 days 00:00:27.937959,BaggingClassifier,Normalize_L1_1,,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]","{'n_estimators': 50, 'max_samples': 0.1, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
988,0.7935483868407908,2024-07-08 12:43:41.827127,2024-07-08 12:43:57.763129,0 days 00:00:15.936002,GradientBoostingClassifier,Normalize_L1_1,,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0]","{'n_estimators': 50, 'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 50, 'subsample': 0.7, 'max_features': None}",COMPLETE
989,0.7870967739396462,2024-07-08 12:43:42.258138,2024-07-08 12:43:58.897123,0 days 00:00:16.638985,XGBClassifier,Normalize_L1_1,,"[1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1]","{'n_estimators': 500, 'learning_rate': 0.01, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.5, 'gamma': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",COMPLETE
990,0.5612903223995838,2024-07-08 12:43:42.754137,2024-07-08 12:44:10.879093,0 days 00:00:28.124956,XGBClassifier,Normalize_L1_1,RandomUnderSampler,"[1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0]","{'n_estimators': 100, 'learning_rate': 10.0, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.7, 'gamma': 0.5, 'reg_alpha': 0.0, 'reg_lambda': 0.0}",COMPLETE
991,0.7967741932913631,2024-07-08 12:43:44.912127,2024-07-08 12:44:00.909123,0 days 00:00:15.996996,GradientBoostingClassifier,Normalize_L1_1,,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0]","{'n_estimators': 50, 'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 50, 'min_samples_leaf': 5, 'subsample': 0.7, 'max_features': 'sqrt'}",COMPLETE
992,0.7645161287856399,2024-07-08 12:43:45.465126,2024-07-08 12:44:09.125140,0 days 00:00:23.660014,BaggingClassifier,Normalize_L1_1,,"[1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0]","{'n_estimators': 200, 'max_samples': 1.0, 'max_features': 0.5, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
993,0.4161290321238293,2024-07-08 12:43:45.844124,2024-07-08 12:44:25.891137,0 days 00:00:40.047013,BaggingClassifier,Normalize_L1_1,RandomUnderSampler,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1]","{'n_estimators': 100, 'max_samples': 1.0, 'max_features': 0.1, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
994,0.7645161287856399,2024-07-08 12:43:45.857123,2024-07-08 12:44:25.604093,0 days 00:00:39.746970,BaggingClassifier,Normalize_L1_1,,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1]","{'n_estimators': 200, 'max_samples': 1.0, 'max_features': 1.0, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
995,0.7387096771810613,2024-07-08 12:43:46.567138,2024-07-08 12:44:15.212127,0 days 00:00:28.644989,XGBClassifier,Normalize_L1_1,,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0]","{'n_estimators': 500, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.5, 'gamma': 0.1, 'reg_alpha': 0.1, 'reg_lambda': 0.0}",COMPLETE
996,0.6290322578616024,2024-07-08 12:43:46.699135,2024-07-08 12:44:29.949124,0 days 00:00:43.249989,BaggingClassifier,StandardScaler,,"[1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0]","{'n_estimators': 200, 'max_samples': 1.0, 'max_features': 0.5, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
997,0.7645161287856399,2024-07-08 12:43:47.237137,2024-07-08 12:44:05.979137,0 days 00:00:18.742000,BaggingClassifier,Normalize_L1_1,,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1]","{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
998,0.6677419352684703,2024-07-08 12:43:48.864124,2024-07-08 12:44:15.116141,0 days 00:00:26.252017,XGBClassifier,Normalize_L1_1,,"[1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]","{'n_estimators': 500, 'learning_rate': 0.5, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.7, 'gamma': 0.0, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",COMPLETE
999,0.45483870953069716,2024-07-08 12:43:49.268128,2024-07-08 12:44:29.952130,0 days 00:00:40.684002,BaggingClassifier,Normalize_L1_1,RandomUnderSampler,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0]","{'n_estimators': 1000, 'max_samples': 1.0, 'max_features': 0.5, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
1000,0.7612903223350675,2024-07-08 12:43:50.136122,2024-07-08 12:44:34.643131,0 days 00:00:44.507009,BaggingClassifier,Normalize_L1_1,,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0]","{'n_estimators': 500, 'max_samples': 1.0, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
1001,0.593548386905307,2024-07-08 12:43:52.411128,2024-07-08 12:44:10.585139,0 days 00:00:18.174011,XGBClassifier,Normalize_L1_1,RandomUnderSampler,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1]","{'n_estimators': 50, 'learning_rate': 0.01, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'gamma': 0.0, 'reg_alpha': 0.0, 'reg_lambda': 0.1}",COMPLETE
1002,0.7838709674890738,2024-07-08 12:43:55.009138,2024-07-08 12:44:50.085137,0 days 00:00:55.075999,BaggingClassifier,StandardScaler,,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1]","{'n_estimators': 100, 'max_samples': 0.1, 'max_features': 0.5, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1003,0.7645161287856399,2024-07-08 12:43:55.539137,2024-07-08 12:44:17.838123,0 days 00:00:22.298986,BaggingClassifier,Normalize_L1_1,,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1]","{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 0.1, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1004,0.6193548385098855,2024-07-08 12:43:55.896122,2024-07-08 12:44:12.070137,0 days 00:00:16.174015,XGBClassifier,Normalize_L1_1,RandomUnderSampler,"[0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]","{'n_estimators': 10, 'learning_rate': 1.0, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.7, 'gamma': 0.1, 'reg_alpha': 0.1, 'reg_lambda': 0.1}",COMPLETE
1005,0.7870967739396462,2024-07-08 12:43:57.331124,2024-07-08 12:44:18.797138,0 days 00:00:21.466014,BaggingClassifier,MaxAbsScaler,,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0]","{'n_estimators': 200, 'max_samples': 0.1, 'max_features': 0.1, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
1006,0.0,2024-07-08 12:43:57.518123,2024-07-08 12:44:15.191141,0 days 00:00:17.673018,BaggingClassifier,,RandomUnderSampler,,"{'n_estimators': 500, 'max_samples': 1.0, 'max_features': 0.1, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1007,0.6709677417190426,2024-07-08 12:43:57.706124,2024-07-08 12:44:18.900095,0 days 00:00:21.193971,XGBClassifier,Normalize_L1_1,,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","{'n_estimators': 500, 'learning_rate': 1.0, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 1.0, 'gamma': 1.0, 'reg_alpha': 1.0, 'reg_lambda': 1.0}",COMPLETE
1008,0.6967741933236212,2024-07-08 12:43:57.947126,2024-07-08 12:44:11.312124,0 days 00:00:13.364998,XGBClassifier,Normalize_L1_1,,"[0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]","{'n_estimators': 100, 'learning_rate': 10.0, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 1.0, 'gamma': 0.5, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",COMPLETE
1009,0.8032258061925077,2024-07-08 12:43:58.702140,2024-07-08 12:44:34.651137,0 days 00:00:35.948997,BaggingClassifier,Normalize_L1_1,,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]","{'n_estimators': 1000, 'max_samples': 0.1, 'max_features': 0.1, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1010,0.7806451610385015,2024-07-08 12:44:01.379128,2024-07-08 12:44:29.681098,0 days 00:00:28.301970,BaggingClassifier,MaxAbsScaler,,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1]","{'n_estimators': 100, 'max_samples': 0.1, 'max_features': 0.5, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
1011,0.7935483868407908,2024-07-08 12:44:03.317098,2024-07-08 12:44:34.957138,0 days 00:00:31.640040,BaggingClassifier,StandardScaler,,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0]","{'n_estimators': 50, 'max_samples': 0.1, 'max_features': 0.5, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
1012,0.0,2024-07-08 12:44:04.248129,2024-07-08 12:44:17.590124,0 days 00:00:13.341995,BaggingClassifier,,,,"{'n_estimators': 10, 'max_samples': 0.1, 'max_features': 0.1, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
